qa_run_id,batch_id,revision_id,parent_run_id,source_hash,rubric_hash,scope_hash,product_count,status,canonical,supersedes,superseded_by,registry_status,created_at,result_xlsx,result_md,manifest
QA-20260907-AGENT-B014,B014,,,,,,,QA_FAIL,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B014\SEO_QA_B014.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B014\SEO_QA_B014.md,
QA-20260907-AGENT-B015,B015,,,,,,,QA_FAIL,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B015\SEO_QA_B015.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B015\SEO_QA_B015.md,
QA-20260907-AGENT-B016,B016,,,,,,,QA_REVISE,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B016\SEO_QA_B016.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B016\SEO_QA_B016.md,
QA-20260907-AGENT-B017,B017,,,,,,,QA_REVISE,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B017\SEO_QA_B017.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B017\SEO_QA_B017.md,
QA-20260907-AGENT-B018,B018,,,,,,,QA_REVISE,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B018\SEO_QA_B018.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B018\SEO_QA_B018.md,
QA-20260907-AGENT-B019,B019,,,,,,,QA_FAIL,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B019\SEO_QA_B019.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B019\SEO_QA_B019.md,
QA-20260907-AGENT-B020,B020,,,,,,,QA_FAIL,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B020\SEO_QA_B020.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B020\SEO_QA_B020.md,
QA-20260907-AGENT-B021,B021,,,,,,,QA_REVISE,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B021\SEO_QA_B021.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B021\SEO_QA_B021.md,
QA-20260907-AGENT-B022,B022,,,,,,,QA_FAIL,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B022\SEO_QA_B022.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B022\SEO_QA_B022.md,
QA-20260907-AGENT-B023,B023,,,,,,,QA_REVISE,False,,,LEGACY,,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B023\SEO_QA_B023.xlsx,D:\CODE\Code_Clone\SEO_TASK_CHILLGEN\SEO_Chillgen\resutls\chillgen.com\chillgen_20260907_01\qa\QA-20260907-AGENT-B023\SEO_QA_B023.md,
