schema_version,prompt_version,run_id,shop_domain,product_key,Handle,product_id,product_gid,url,canonical_url,locale,market,public_status,access_status,discovery_status,identity_status,admin_status,published,product_type,product_category_current,title_discovery,collections,season_priority,inventory_order,source_refs,source_file,source_file_sha256,source_row_start,source_row_end,variant_count,image_count,discovered_at,last_checked_at,issues,assigned_batch,batch_status,research_status,review_status
1.0,2.4,chillgen_20260911_01,chillgen.com,chillgen.com::personalized-stained-glass-bigfoot-forest-area-rug-non-slip-backing,personalized-stained-glass-bigfoot-forest-area-rug-non-slip-backing,16000591954289,gid://shopify/Product/16000591954289,https://chillgen.com/products/personalized-stained-glass-bigfoot-forest-area-rug-non-slip-backing,https://chillgen.com/products/personalized-stained-glass-bigfoot-forest-area-rug-non-slip-backing,en-US,US,PUBLIC_AVAILABLE,ACCESSIBLE_PUBLIC_JSON,DISCOVERED_PUBLIC_PRODUCTS_JSON_AFTER_ACTIVATION,VERIFIED,active,true,Rug,Hardware > Building Materials > Staircases,"Personalized Stained Glass Bigfoot Forest Area Rug, Non-Slip Backing",UNKNOWN,UNCONFIRMED,11,SRC01#records=63-68,products_export (1).zip,b861e4b348db1d6d7eafaf5afca0aeec3326c0b6e4c70656e32ca8e3cd904db1,63,68,4,6,2026-09-11T06:18:55Z,2026-09-11T07:05:58Z,identity_bound_from_public_products_json_after_activation;admin_export_product_id_not_provided,B002,PLANNED_LOCKED,NOT_STARTED,NEEDS_REVIEW
1.0,2.4,chillgen_20260911_01,chillgen.com,chillgen.com::personalized-bigfoot-peace-sign-forest-area-rug-home-decor-bigfoot,personalized-bigfoot-peace-sign-forest-area-rug-home-decor-bigfoot,16000591987057,gid://shopify/Product/16000591987057,https://chillgen.com/products/personalized-bigfoot-peace-sign-forest-area-rug-home-decor-bigfoot,https://chillgen.com/products/personalized-bigfoot-peace-sign-forest-area-rug-home-decor-bigfoot,en-US,US,PUBLIC_AVAILABLE,ACCESSIBLE_PUBLIC_JSON,DISCOVERED_PUBLIC_PRODUCTS_JSON_AFTER_ACTIVATION,VERIFIED,active,true,Rug,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Crafting Patterns & Molds > Sewing Patterns > Home Decor Sewing Patterns,"Personalized Bigfoot Peace Sign Forest Area Rug, Home Decor - Bigfoot",UNKNOWN,UNCONFIRMED,12,SRC01#records=69-74,products_export (1).zip,b861e4b348db1d6d7eafaf5afca0aeec3326c0b6e4c70656e32ca8e3cd904db1,69,74,4,6,2026-09-11T06:18:55Z,2026-09-11T07:05:58Z,identity_bound_from_public_products_json_after_activation;admin_export_product_id_not_provided,B002,PLANNED_LOCKED,NOT_STARTED,NEEDS_REVIEW
1.0,2.4,chillgen_20260911_01,chillgen.com,chillgen.com::personalized-bigfoot-silhouette-with-full-moon-area-rug-design-01,personalized-bigfoot-silhouette-with-full-moon-area-rug-design-01,16000592478577,gid://shopify/Product/16000592478577,https://chillgen.com/products/personalized-bigfoot-silhouette-with-full-moon-area-rug-design-01,https://chillgen.com/products/personalized-bigfoot-silhouette-with-full-moon-area-rug-design-01,en-US,US,PUBLIC_AVAILABLE,ACCESSIBLE_PUBLIC_JSON,DISCOVERED_PUBLIC_PRODUCTS_JSON_AFTER_ACTIVATION,VERIFIED,active,true,Rug,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Crafting Patterns & Molds > Sewing Patterns > Home Decor Sewing Patterns,Personalized Bigfoot Silhouette with Full Moon Area Rug - Design 01,UNKNOWN,UNCONFIRMED,13,SRC01#records=75-80,products_export (1).zip,b861e4b348db1d6d7eafaf5afca0aeec3326c0b6e4c70656e32ca8e3cd904db1,75,80,4,6,2026-09-11T06:18:55Z,2026-09-11T07:05:58Z,identity_bound_from_public_products_json_after_activation;admin_export_product_id_not_provided,B002,PLANNED_LOCKED,NOT_STARTED,NEEDS_REVIEW
1.0,2.4,chillgen_20260911_01,chillgen.com,chillgen.com::personalized-bigfoot-silhouette-full-moon-forest-area-rug,personalized-bigfoot-silhouette-full-moon-forest-area-rug,16000592511345,gid://shopify/Product/16000592511345,https://chillgen.com/products/personalized-bigfoot-silhouette-full-moon-forest-area-rug,https://chillgen.com/products/personalized-bigfoot-silhouette-full-moon-forest-area-rug,en-US,US,PUBLIC_AVAILABLE,ACCESSIBLE_PUBLIC_JSON,DISCOVERED_PUBLIC_PRODUCTS_JSON_AFTER_ACTIVATION,VERIFIED,active,true,Rug,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Crafting Patterns & Molds > Sewing Patterns > Home Decor Sewing Patterns,Personalized Bigfoot Silhouette Full Moon Forest Area Rug,UNKNOWN,UNCONFIRMED,14,SRC01#records=81-86,products_export (1).zip,b861e4b348db1d6d7eafaf5afca0aeec3326c0b6e4c70656e32ca8e3cd904db1,81,86,4,6,2026-09-11T06:18:55Z,2026-09-11T07:05:58Z,identity_bound_from_public_products_json_after_activation;admin_export_product_id_not_provided,B002,PLANNED_LOCKED,NOT_STARTED,NEEDS_REVIEW
1.0,2.4,chillgen_20260911_01,chillgen.com,chillgen.com::personalized-bird-nature-with-mountains-and-trees-area-rug-home-decor,personalized-bird-nature-with-mountains-and-trees-area-rug-home-decor,16000592707953,gid://shopify/Product/16000592707953,https://chillgen.com/products/personalized-bird-nature-with-mountains-and-trees-area-rug-home-decor,https://chillgen.com/products/personalized-bird-nature-with-mountains-and-trees-area-rug-home-decor,en-US,US,PUBLIC_AVAILABLE,ACCESSIBLE_PUBLIC_JSON,DISCOVERED_PUBLIC_PRODUCTS_JSON_AFTER_ACTIVATION,VERIFIED,active,true,Rug,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Crafting Patterns & Molds > Sewing Patterns > Home Decor Sewing Patterns,"Personalized Bird nature with mountains and trees Area Rug, Home Decor",UNKNOWN,UNCONFIRMED,15,SRC01#records=87-92,products_export (1).zip,b861e4b348db1d6d7eafaf5afca0aeec3326c0b6e4c70656e32ca8e3cd904db1,87,92,4,6,2026-09-11T06:18:55Z,2026-09-11T07:05:58Z,identity_bound_from_public_products_json_after_activation;admin_export_product_id_not_provided,B002,PLANNED_LOCKED,NOT_STARTED,NEEDS_REVIEW
1.0,2.4,chillgen_20260911_01,chillgen.com,chillgen.com::personalized-bigfoot-outdoor-adventure-area-rug-non-slip-backing,personalized-bigfoot-outdoor-adventure-area-rug-non-slip-backing,16000593068401,gid://shopify/Product/16000593068401,https://chillgen.com/products/personalized-bigfoot-outdoor-adventure-area-rug-non-slip-backing,https://chillgen.com/products/personalized-bigfoot-outdoor-adventure-area-rug-non-slip-backing,en-US,US,PUBLIC_AVAILABLE,ACCESSIBLE_PUBLIC_JSON,DISCOVERED_PUBLIC_PRODUCTS_JSON_AFTER_ACTIVATION,VERIFIED,active,true,Rug,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Crafting Patterns & Molds > Sewing Patterns > Home Decor Sewing Patterns,"Personalized Bigfoot Outdoor Adventure Area Rug, Non-Slip Backing",UNKNOWN,UNCONFIRMED,16,SRC01#records=93-98,products_export (1).zip,b861e4b348db1d6d7eafaf5afca0aeec3326c0b6e4c70656e32ca8e3cd904db1,93,98,4,6,2026-09-11T06:18:55Z,2026-09-11T07:05:58Z,identity_bound_from_public_products_json_after_activation;admin_export_product_id_not_provided,B002,PLANNED_LOCKED,NOT_STARTED,NEEDS_REVIEW
1.0,2.4,chillgen_20260911_01,chillgen.com,chillgen.com::personalized-bigfoot-stained-glass-forest-area-rug-home-decor,personalized-bigfoot-stained-glass-forest-area-rug-home-decor,16000593133937,gid://shopify/Product/16000593133937,https://chillgen.com/products/personalized-bigfoot-stained-glass-forest-area-rug-home-decor,https://chillgen.com/products/personalized-bigfoot-stained-glass-forest-area-rug-home-decor,en-US,US,PUBLIC_AVAILABLE,ACCESSIBLE_PUBLIC_JSON,DISCOVERED_PUBLIC_PRODUCTS_JSON_AFTER_ACTIVATION,VERIFIED,active,true,Rug,Hardware > Building Materials > Staircases,"Personalized Bigfoot Stained Glass Forest Area Rug, Home Decor",UNKNOWN,UNCONFIRMED,17,SRC01#records=99-104,products_export (1).zip,b861e4b348db1d6d7eafaf5afca0aeec3326c0b6e4c70656e32ca8e3cd904db1,99,104,4,6,2026-09-11T06:18:55Z,2026-09-11T07:05:58Z,identity_bound_from_public_products_json_after_activation;admin_export_product_id_not_provided,B002,PLANNED_LOCKED,NOT_STARTED,NEEDS_REVIEW
1.0,2.4,chillgen_20260911_01,chillgen.com,chillgen.com::personalized-by-campfire-forest-area-rug-for-outdoor-adventure,personalized-by-campfire-forest-area-rug-for-outdoor-adventure,16000593330545,gid://shopify/Product/16000593330545,https://chillgen.com/products/personalized-by-campfire-forest-area-rug-for-outdoor-adventure,https://chillgen.com/products/personalized-by-campfire-forest-area-rug-for-outdoor-adventure,en-US,US,PUBLIC_AVAILABLE,ACCESSIBLE_PUBLIC_JSON,DISCOVERED_PUBLIC_PRODUCTS_JSON_AFTER_ACTIVATION,VERIFIED,active,true,Rug,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Crafting Patterns & Molds > Sewing Patterns > Home Decor Sewing Patterns,Personalized by Campfire Forest Area Rug for Outdoor Adventure,UNKNOWN,UNCONFIRMED,18,SRC01#records=105-110,products_export (1).zip,b861e4b348db1d6d7eafaf5afca0aeec3326c0b6e4c70656e32ca8e3cd904db1,105,110,4,6,2026-09-11T06:18:55Z,2026-09-11T07:05:58Z,identity_bound_from_public_products_json_after_activation;admin_export_product_id_not_provided,B002,PLANNED_LOCKED,NOT_STARTED,NEEDS_REVIEW
1.0,2.4,chillgen_20260911_01,chillgen.com,chillgen.com::personalized-bigfoot-night-full-moon-forest-area-rug-home-decor,personalized-bigfoot-night-full-moon-forest-area-rug-home-decor,16000593887601,gid://shopify/Product/16000593887601,https://chillgen.com/products/personalized-bigfoot-night-full-moon-forest-area-rug-home-decor,https://chillgen.com/products/personalized-bigfoot-night-full-moon-forest-area-rug-home-decor,en-US,US,PUBLIC_AVAILABLE,ACCESSIBLE_PUBLIC_JSON,DISCOVERED_PUBLIC_PRODUCTS_JSON_AFTER_ACTIVATION,VERIFIED,active,true,Rug,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Crafting Patterns & Molds > Sewing Patterns > Home Decor Sewing Patterns,"Personalized Bigfoot Night Full Moon Forest Area Rug, Home Decor",UNKNOWN,UNCONFIRMED,19,SRC01#records=111-116,products_export (1).zip,b861e4b348db1d6d7eafaf5afca0aeec3326c0b6e4c70656e32ca8e3cd904db1,111,116,4,6,2026-09-11T06:18:55Z,2026-09-11T07:05:58Z,identity_bound_from_public_products_json_after_activation;admin_export_product_id_not_provided,B002,PLANNED_LOCKED,NOT_STARTED,NEEDS_REVIEW
1.0,2.4,chillgen_20260911_01,chillgen.com,chillgen.com::personalized-bigfoot-sunset-forest-silhouette-area-rug,personalized-bigfoot-sunset-forest-silhouette-area-rug,16000593920369,gid://shopify/Product/16000593920369,https://chillgen.com/products/personalized-bigfoot-sunset-forest-silhouette-area-rug,https://chillgen.com/products/personalized-bigfoot-sunset-forest-silhouette-area-rug,en-US,US,PUBLIC_AVAILABLE,ACCESSIBLE_PUBLIC_JSON,DISCOVERED_PUBLIC_PRODUCTS_JSON_AFTER_ACTIVATION,VERIFIED,active,true,Rug,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Crafting Patterns & Molds > Sewing Patterns > Home Decor Sewing Patterns,Personalized Bigfoot Sunset Forest Silhouette Area Rug,UNKNOWN,UNCONFIRMED,20,SRC01#records=117-122,products_export (1).zip,b861e4b348db1d6d7eafaf5afca0aeec3326c0b6e4c70656e32ca8e3cd904db1,117,122,4,6,2026-09-11T06:18:55Z,2026-09-11T07:05:58Z,identity_bound_from_public_products_json_after_activation;admin_export_product_id_not_provided,B002,PLANNED_LOCKED,NOT_STARTED,NEEDS_REVIEW
1.0,2.4,chillgen_20260911_01,chillgen.com,chillgen.com::personalized-bigfoot-camping-sunset-forest-area-rug,personalized-bigfoot-camping-sunset-forest-area-rug,16000594280817,gid://shopify/Product/16000594280817,https://chillgen.com/products/personalized-bigfoot-camping-sunset-forest-area-rug,https://chillgen.com/products/personalized-bigfoot-camping-sunset-forest-area-rug,en-US,US,PUBLIC_AVAILABLE,ACCESSIBLE_PUBLIC_JSON,DISCOVERED_PUBLIC_PRODUCTS_JSON_AFTER_ACTIVATION,VERIFIED,active,true,Rug,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Crafting Patterns & Molds > Sewing Patterns > Home Decor Sewing Patterns,Personalized Bigfoot Camping Sunset Forest Area Rug,UNKNOWN,UNCONFIRMED,21,SRC01#records=123-128,products_export (1).zip,b861e4b348db1d6d7eafaf5afca0aeec3326c0b6e4c70656e32ca8e3cd904db1,123,128,4,6,2026-09-11T06:18:55Z,2026-09-11T07:05:58Z,identity_bound_from_public_products_json_after_activation;admin_export_product_id_not_provided,B003,PLANNED_LOCKED,NOT_STARTED,NEEDS_REVIEW
1.0,2.4,chillgen_20260911_01,chillgen.com,chillgen.com::personalized-bigfoot-camping-night-scene-area-rug-home-decor,personalized-bigfoot-camping-night-scene-area-rug-home-decor,16000594608497,gid://shopify/Product/16000594608497,https://chillgen.com/products/personalized-bigfoot-camping-night-scene-area-rug-home-decor,https://chillgen.com/products/personalized-bigfoot-camping-night-scene-area-rug-home-decor,en-US,US,PUBLIC_AVAILABLE,ACCESSIBLE_PUBLIC_JSON,DISCOVERED_PUBLIC_PRODUCTS_JSON_AFTER_ACTIVATION,VERIFIED,active,true,Rug,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Crafting Patterns & Molds > Sewing Patterns > Home Decor Sewing Patterns,"Personalized Bigfoot Camping Night Scene Area Rug, Home Decor",UNKNOWN,UNCONFIRMED,22,SRC01#records=129-134,products_export (1).zip,b861e4b348db1d6d7eafaf5afca0aeec3326c0b6e4c70656e32ca8e3cd904db1,129,134,4,6,2026-09-11T06:18:55Z,2026-09-11T07:05:58Z,identity_bound_from_public_products_json_after_activation;admin_export_product_id_not_provided,B003,PLANNED_LOCKED,NOT_STARTED,NEEDS_REVIEW
1.0,2.4,chillgen_20260911_01,chillgen.com,chillgen.com::personalized-checkered-flag-racing-area-rug-non-slip-design-05,personalized-checkered-flag-racing-area-rug-non-slip-design-05,16000629932401,gid://shopify/Product/16000629932401,https://chillgen.com/products/personalized-checkered-flag-racing-area-rug-non-slip-design-05,https://chillgen.com/products/personalized-checkered-flag-racing-area-rug-non-slip-design-05,en-US,US,PUBLIC_AVAILABLE,ACCESSIBLE_PUBLIC_JSON,DISCOVERED_PUBLIC_PRODUCTS_JSON_AFTER_ACTIVATION,VERIFIED,active,true,Rug,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Crafting Patterns & Molds > Sewing Patterns > Home Decor Sewing Patterns,"Personalized Checkered Flag Racing Area Rug, Non-Slip - Design 05",UNKNOWN,UNCONFIRMED,23,SRC01#records=135-140,products_export (1).zip,b861e4b348db1d6d7eafaf5afca0aeec3326c0b6e4c70656e32ca8e3cd904db1,135,140,5,6,2026-09-11T06:18:55Z,2026-09-11T07:05:58Z,identity_bound_from_public_products_json_after_activation;admin_export_product_id_not_provided,B003,PLANNED_LOCKED,NOT_STARTED,NEEDS_REVIEW
