run_id,Handle,product_key,product_id,product_gid,public_url,public_json_source,title_public_json,title_inventory,variant_count_inventory,variant_count_public_json,image_count_inventory,image_count_public_json,identity_status,identity_method,checked_at
chillgen_20260911_01,personalized-stained-glass-bigfoot-forest-area-rug-non-slip-backing,chillgen.com::personalized-stained-glass-bigfoot-forest-area-rug-non-slip-backing,16000591954289,gid://shopify/Product/16000591954289,https://chillgen.com/products/personalized-stained-glass-bigfoot-forest-area-rug-non-slip-backing,https://chillgen.com/products.json?limit=250&page=1,"Personalized Stained Glass Bigfoot Forest Area Rug, Non-Slip Backing","Personalized Stained Glass Bigfoot Forest Area Rug, Non-Slip Backing",4,4,6,6,VERIFIED,PUBLIC_PRODUCTS_JSON_HANDLE_MATCH_AFTER_ACTIVATION,2026-09-11T07:05:58Z
chillgen_20260911_01,personalized-bigfoot-peace-sign-forest-area-rug-home-decor-bigfoot,chillgen.com::personalized-bigfoot-peace-sign-forest-area-rug-home-decor-bigfoot,16000591987057,gid://shopify/Product/16000591987057,https://chillgen.com/products/personalized-bigfoot-peace-sign-forest-area-rug-home-decor-bigfoot,https://chillgen.com/products.json?limit=250&page=1,"Personalized Bigfoot Peace Sign Forest Area Rug, Home Decor - Bigfoot","Personalized Bigfoot Peace Sign Forest Area Rug, Home Decor - Bigfoot",4,4,6,6,VERIFIED,PUBLIC_PRODUCTS_JSON_HANDLE_MATCH_AFTER_ACTIVATION,2026-09-11T07:05:58Z
chillgen_20260911_01,personalized-bigfoot-silhouette-with-full-moon-area-rug-design-01,chillgen.com::personalized-bigfoot-silhouette-with-full-moon-area-rug-design-01,16000592478577,gid://shopify/Product/16000592478577,https://chillgen.com/products/personalized-bigfoot-silhouette-with-full-moon-area-rug-design-01,https://chillgen.com/products.json?limit=250&page=1,Personalized Bigfoot Silhouette with Full Moon Area Rug - Design 01,Personalized Bigfoot Silhouette with Full Moon Area Rug - Design 01,4,4,6,6,VERIFIED,PUBLIC_PRODUCTS_JSON_HANDLE_MATCH_AFTER_ACTIVATION,2026-09-11T07:05:58Z
chillgen_20260911_01,personalized-bigfoot-silhouette-full-moon-forest-area-rug,chillgen.com::personalized-bigfoot-silhouette-full-moon-forest-area-rug,16000592511345,gid://shopify/Product/16000592511345,https://chillgen.com/products/personalized-bigfoot-silhouette-full-moon-forest-area-rug,https://chillgen.com/products.json?limit=250&page=1,Personalized Bigfoot Silhouette Full Moon Forest Area Rug,Personalized Bigfoot Silhouette Full Moon Forest Area Rug,4,4,6,6,VERIFIED,PUBLIC_PRODUCTS_JSON_HANDLE_MATCH_AFTER_ACTIVATION,2026-09-11T07:05:58Z
chillgen_20260911_01,personalized-bird-nature-with-mountains-and-trees-area-rug-home-decor,chillgen.com::personalized-bird-nature-with-mountains-and-trees-area-rug-home-decor,16000592707953,gid://shopify/Product/16000592707953,https://chillgen.com/products/personalized-bird-nature-with-mountains-and-trees-area-rug-home-decor,https://chillgen.com/products.json?limit=250&page=1,"Personalized Bird nature with mountains and trees Area Rug, Home Decor","Personalized Bird nature with mountains and trees Area Rug, Home Decor",4,4,6,6,VERIFIED,PUBLIC_PRODUCTS_JSON_HANDLE_MATCH_AFTER_ACTIVATION,2026-09-11T07:05:58Z
chillgen_20260911_01,personalized-bigfoot-outdoor-adventure-area-rug-non-slip-backing,chillgen.com::personalized-bigfoot-outdoor-adventure-area-rug-non-slip-backing,16000593068401,gid://shopify/Product/16000593068401,https://chillgen.com/products/personalized-bigfoot-outdoor-adventure-area-rug-non-slip-backing,https://chillgen.com/products.json?limit=250&page=1,"Personalized Bigfoot Outdoor Adventure Area Rug, Non-Slip Backing","Personalized Bigfoot Outdoor Adventure Area Rug, Non-Slip Backing",4,4,6,6,VERIFIED,PUBLIC_PRODUCTS_JSON_HANDLE_MATCH_AFTER_ACTIVATION,2026-09-11T07:05:58Z
chillgen_20260911_01,personalized-bigfoot-stained-glass-forest-area-rug-home-decor,chillgen.com::personalized-bigfoot-stained-glass-forest-area-rug-home-decor,16000593133937,gid://shopify/Product/16000593133937,https://chillgen.com/products/personalized-bigfoot-stained-glass-forest-area-rug-home-decor,https://chillgen.com/products.json?limit=250&page=1,"Personalized Bigfoot Stained Glass Forest Area Rug, Home Decor","Personalized Bigfoot Stained Glass Forest Area Rug, Home Decor",4,4,6,6,VERIFIED,PUBLIC_PRODUCTS_JSON_HANDLE_MATCH_AFTER_ACTIVATION,2026-09-11T07:05:58Z
chillgen_20260911_01,personalized-by-campfire-forest-area-rug-for-outdoor-adventure,chillgen.com::personalized-by-campfire-forest-area-rug-for-outdoor-adventure,16000593330545,gid://shopify/Product/16000593330545,https://chillgen.com/products/personalized-by-campfire-forest-area-rug-for-outdoor-adventure,https://chillgen.com/products.json?limit=250&page=1,Personalized by Campfire Forest Area Rug for Outdoor Adventure,Personalized by Campfire Forest Area Rug for Outdoor Adventure,4,4,6,6,VERIFIED,PUBLIC_PRODUCTS_JSON_HANDLE_MATCH_AFTER_ACTIVATION,2026-09-11T07:05:58Z
chillgen_20260911_01,personalized-bigfoot-night-full-moon-forest-area-rug-home-decor,chillgen.com::personalized-bigfoot-night-full-moon-forest-area-rug-home-decor,16000593887601,gid://shopify/Product/16000593887601,https://chillgen.com/products/personalized-bigfoot-night-full-moon-forest-area-rug-home-decor,https://chillgen.com/products.json?limit=250&page=1,"Personalized Bigfoot Night Full Moon Forest Area Rug, Home Decor","Personalized Bigfoot Night Full Moon Forest Area Rug, Home Decor",4,4,6,6,VERIFIED,PUBLIC_PRODUCTS_JSON_HANDLE_MATCH_AFTER_ACTIVATION,2026-09-11T07:05:58Z
chillgen_20260911_01,personalized-bigfoot-sunset-forest-silhouette-area-rug,chillgen.com::personalized-bigfoot-sunset-forest-silhouette-area-rug,16000593920369,gid://shopify/Product/16000593920369,https://chillgen.com/products/personalized-bigfoot-sunset-forest-silhouette-area-rug,https://chillgen.com/products.json?limit=250&page=1,Personalized Bigfoot Sunset Forest Silhouette Area Rug,Personalized Bigfoot Sunset Forest Silhouette Area Rug,4,4,6,6,VERIFIED,PUBLIC_PRODUCTS_JSON_HANDLE_MATCH_AFTER_ACTIVATION,2026-09-11T07:05:58Z
