inventory_order,batch_id,product_key,Handle,title_discovery,url,identity_status,public_status,source_refs,image_count,research_status,review_status
71,B008,chillgen.com::personalized-colorful-composition-notebook-teacher-door-mat,personalized-colorful-composition-notebook-teacher-door-mat,Personalized Colorful Composition Notebook Teacher Door Mat,https://chillgen.com/products/personalized-colorful-composition-notebook-teacher-door-mat,VERIFIED,PUBLIC_AVAILABLE,SRC02#records=123-128;PUBLIC_JSON:https://chillgen.com/products.json?limit=250&page=1,6,NOT_STARTED,NEEDS_REVIEW
72,B008,chillgen.com::personalized-rainbow-butterfly-stained-glass-garden-doormat,personalized-rainbow-butterfly-stained-glass-garden-doormat,Personalized Rainbow Butterfly Stained Glass Garden Doormat,https://chillgen.com/products/personalized-rainbow-butterfly-stained-glass-garden-doormat,VERIFIED,PUBLIC_AVAILABLE,SRC02#records=129-135;PUBLIC_JSON:https://chillgen.com/products.json?limit=250&page=1,7,NOT_STARTED,NEEDS_REVIEW
73,B008,chillgen.com::personalized-rainbow-everyone-is-welcome-here-hands-doormat,personalized-rainbow-everyone-is-welcome-here-hands-doormat,Personalized Rainbow Everyone Is Welcome Here Hands Doormat,https://chillgen.com/products/personalized-rainbow-everyone-is-welcome-here-hands-doormat,VERIFIED,PUBLIC_AVAILABLE,SRC02#records=136-142;PUBLIC_JSON:https://chillgen.com/products.json?limit=250&page=1,7,NOT_STARTED,NEEDS_REVIEW
74,B008,chillgen.com::personalized-rainbow-paw-print-love-is-doormat-pride-month-decor,personalized-rainbow-paw-print-love-is-doormat-pride-month-decor,"Personalized Rainbow Paw Print Love Is Doormat, Pride Month Decor",https://chillgen.com/products/personalized-rainbow-paw-print-love-is-doormat-pride-month-decor,VERIFIED,PUBLIC_AVAILABLE,SRC02#records=143-149;PUBLIC_JSON:https://chillgen.com/products.json?limit=250&page=1,7,NOT_STARTED,NEEDS_REVIEW
75,B008,chillgen.com::personalized-pride-rainbow-all-are-welcome-doormat-front-porch-decor,personalized-pride-rainbow-all-are-welcome-doormat-front-porch-decor,"Personalized Pride Rainbow All Are Welcome Doormat, Front Porch Decor",https://chillgen.com/products/personalized-pride-rainbow-all-are-welcome-doormat-front-porch-decor,VERIFIED,PUBLIC_AVAILABLE,SRC02#records=150-156;PUBLIC_JSON:https://chillgen.com/products.json?limit=250&page=1,7,NOT_STARTED,NEEDS_REVIEW
76,B008,chillgen.com::personalized-rainbow-flag-cat-doormat-pride-month-decor,personalized-rainbow-flag-cat-doormat-pride-month-decor,"Personalized Rainbow Flag Cat Doormat, Pride Month Decor",https://chillgen.com/products/personalized-rainbow-flag-cat-doormat-pride-month-decor,VERIFIED,PUBLIC_AVAILABLE,SRC02#records=157-163;PUBLIC_JSON:https://chillgen.com/products.json?limit=250&page=1,7,NOT_STARTED,NEEDS_REVIEW
77,B008,chillgen.com::personalized-flower-fantasy-nature-whimsical-doormat,personalized-flower-fantasy-nature-whimsical-doormat,"Personalized Flower fantasy, nature, whimsical Doormat",https://chillgen.com/products/personalized-flower-fantasy-nature-whimsical-doormat,VERIFIED,PUBLIC_AVAILABLE,SRC02#records=164-170;PUBLIC_JSON:https://chillgen.com/products.json?limit=250&page=1,7,NOT_STARTED,NEEDS_REVIEW
78,B008,chillgen.com::personalized-rainbow-skeleton-pride-doormat-porch-decor,personalized-rainbow-skeleton-pride-doormat-porch-decor,"Personalized Rainbow Skeleton Pride Doormat, Porch Decor",https://chillgen.com/products/personalized-rainbow-skeleton-pride-doormat-porch-decor,VERIFIED,PUBLIC_AVAILABLE,SRC02#records=171-177;PUBLIC_JSON:https://chillgen.com/products.json?limit=250&page=1,7,NOT_STARTED,NEEDS_REVIEW
79,B008,chillgen.com::personalized-rainbow-tree-love-wins-doormat-indoor-outdoor-usage,personalized-rainbow-tree-love-wins-doormat-indoor-outdoor-usage,"Personalized Rainbow Tree Love Wins Doormat, Indoor Outdoor Usage",https://chillgen.com/products/personalized-rainbow-tree-love-wins-doormat-indoor-outdoor-usage,VERIFIED,PUBLIC_AVAILABLE,SRC02#records=178-184;PUBLIC_JSON:https://chillgen.com/products.json?limit=250&page=1,7,NOT_STARTED,NEEDS_REVIEW
80,B008,chillgen.com::personalized-rainbow-skeleton-heart-hands-inclusive-doormat,personalized-rainbow-skeleton-heart-hands-inclusive-doormat,Personalized Rainbow Skeleton Heart-Hands Inclusive Doormat,https://chillgen.com/products/personalized-rainbow-skeleton-heart-hands-inclusive-doormat,VERIFIED,PUBLIC_AVAILABLE,SRC02#records=185-191;PUBLIC_JSON:https://chillgen.com/products.json?limit=250&page=1,7,NOT_STARTED,NEEDS_REVIEW
